year,location,Soil,cultivar,sowing date,sowing configuration,esw,gsr,nheat,nheat2,Maturity Date,yield,nfrost,multiplier,frost yield,crop,crop price
1985,"Bluevale, NSW",Black Vertosol,1,121,,145.53,276.8,0,,308,4919,0,1,4919.047,Wheat,250
1986,"Bluevale, NSW",Black Vertosol,1,121,,121.689,364.8,0,,312,6947.6,0,1,6947.61,Wheat,250
1987,"Bluevale, NSW",Black Vertosol,1,121,,168.542,326.6,0,,307,5061.3,0,1,5061.283,Wheat,250
1988,"Bluevale, NSW",Black Vertosol,1,122,,107.477,238.1,1,,302,4931.2,0,1,4931.163,Wheat,250
1989,"Bluevale, NSW",Black Vertosol,1,121,,123.741,265.8,2,,313,3894.8,0,1,3894.762,Wheat,250
1990,"Bluevale, NSW",Black Vertosol,1,121,,108.755,257.6,0,,309,5483.2,0,1,5483.188,Wheat,250
1991,"Bluevale, NSW",Black Vertosol,1,121,,103.004,264,1,,303,3631.6,1,0.9,3268.418,Wheat,250
1992,"Bluevale, NSW",Black Vertosol,1,122,,95.676,152,0,,312,3768.4,0,1,3768.412,Wheat,250
1993,"Bluevale, NSW",Black Vertosol,1,121,,143.887,341.3,1,,304,6850.9,1,0.9,6165.8,Wheat,250
1994,"Bluevale, NSW",Black Vertosol,1,121,,75.917,72.4,1,,305,2114.2,2,0.81,1712.511,Wheat,250
1995,"Bluevale, NSW",Black Vertosol,1,121,,86.089,211.3,0,,301,2805.7,0,1,2805.697,Wheat,250
1996,"Bluevale, NSW",Black Vertosol,1,122,,95.379,316,0,,306,7408.4,0,1,7408.416,Wheat,250
1997,"Bluevale, NSW",Black Vertosol,1,121,,98.134,240.5,0,,303,5854.4,0,1,5854.377,Wheat,250
1998,"Bluevale, NSW",Black Vertosol,1,121,,211.018,609.9,0,,302,7007.2,0,1,7007.229,Wheat,250
1999,"Bluevale, NSW",Black Vertosol,1,121,,155.315,252.7,0,,299,4893.8,1,0.9,4404.439,Wheat,250
2000,"Bluevale, NSW",Black Vertosol,1,122,,149.475,240.5,5,,303,3956.4,0,1,3956.426,Wheat,250
2001,"Bluevale, NSW",Black Vertosol,1,121,,104.167,232,0,,304,4385,0,1,4385.026,Wheat,250
2002,"Bluevale, NSW",Black Vertosol,1,121,,77.37,71.4,3,,299,2406,0,1,2405.995,Wheat,250
2003,"Bluevale, NSW",Black Vertosol,1,121,,86.275,216.6,2,,308,5357.3,1,0.9,4821.555,Wheat,250
2004,"Bluevale, NSW",Black Vertosol,1,122,,85.793,203,5,,306,4685.5,0,1,4685.455,Wheat,250
2005,"Bluevale, NSW",Black Vertosol,1,121,,156.599,432.7,1,,302,5454.5,0,1,5454.532,Wheat,250
2006,"Bluevale, NSW",Black Vertosol,1,121,,83.026,145.8,3,,300,3317.9,0,1,3317.886,Wheat,250
2007,"Bluevale, NSW",Black Vertosol,1,121,,83.286,226.8,3,,304,3400.7,0,1,3400.692,Wheat,250
2008,"Bluevale, NSW",Black Vertosol,1,122,,101.537,288.7,0,,305,6669.7,0,1,6669.693,Wheat,250
2009,"Bluevale, NSW",Black Vertosol,1,121,,107.814,197.1,2,,300,3802.2,0,1,3802.173,Wheat,250
2010,"Bluevale, NSW",Black Vertosol,1,121,,159.566,340.6,0,,307,7802.7,0,1,7802.691,Wheat,250
2011,"Bluevale, NSW",Black Vertosol,1,121,,140.689,254.2,0,,306,5029.9,0,1,5029.909,Wheat,250
2012,"Bluevale, NSW",Black Vertosol,1,122,,80.097,187,4,,309,3371.2,2,0.81,2730.642,Wheat,250
2013,"Bluevale, NSW",Black Vertosol,1,121,,80.688,177.6,4,,299,3108.5,1,0.9,2797.694,Wheat,250
2014,"Bluevale, NSW",Black Vertosol,1,121,,68.807,194.2,2,,303,2992.1,2,0.81,2423.614,Wheat,250
2015,"Bluevale, NSW",Black Vertosol,1,121,,65.346,177.3,5,,303,2525.1,1,0.9,2272.559,Wheat,250
2016,"Bluevale, NSW",Black Vertosol,1,122,,73.51,394.1,0,,313,7244.2,0,1,7244.168,Wheat,250
2017,"Bluevale, NSW",Black Vertosol,1,121,,136.927,313.9,4,,303,2733.6,0,1,2733.61,Wheat,250
1957,"Wagga Wagga, NSW ",Red Sodosol,1,121,,61.822,210.8,3,,329,1638.7,0,1,1638.741,Wheat,250
1958,"Wagga Wagga, NSW ",Red Sodosol,1,121,,119.681,336.7,5,,331,6853.2,0,1,6853.208,Wheat,250
1959,"Wagga Wagga, NSW ",Red Sodosol,1,121,,127.241,214.4,1,,327,5070.4,0,1,5070.351,Wheat,250
1960,"Wagga Wagga, NSW ",Red Sodosol,1,122,,232.631,445,0,,338,5321.3,0,1,5321.339,Wheat,250
1961,"Wagga Wagga, NSW ",Red Sodosol,1,121,,180.099,294.3,4,,325,4752.3,0,1,4752.263,Wheat,250
1962,"Wagga Wagga, NSW ",Red Sodosol,1,121,,160.677,301,0,,331,5450,0,1,5450.016,Wheat,250
1963,"Wagga Wagga, NSW ",Red Sodosol,1,121,,186.034,383.9,0,,327,5446.7,0,1,5446.665,Wheat,250
1964,"Wagga Wagga, NSW ",Red Sodosol,1,122,,202.859,342.3,1,,335,5708.2,0,1,5708.235,Wheat,250
1965,"Wagga Wagga, NSW ",Red Sodosol,1,121,,196.884,293.3,1,,325,5559.2,0,1,5559.187,Wheat,250
1966,"Wagga Wagga, NSW ",Red Sodosol,1,121,,244.998,346.4,0,,336,5402.6,0,1,5402.601,Wheat,250
1967,"Wagga Wagga, NSW ",Red Sodosol,1,121,,149.689,173.7,2,,322,5112.6,0,1,5112.648,Wheat,250
1968,"Wagga Wagga, NSW ",Red Sodosol,1,122,,169.664,366.2,1,,340,5300.9,0,1,5300.872,Wheat,250
1969,"Wagga Wagga, NSW ",Red Sodosol,1,121,,223.731,356.8,0,,332,4670.1,0,1,4670.112,Wheat,250
1970,"Wagga Wagga, NSW ",Red Sodosol,1,121,,253.921,450.9,0,,335,5720.8,1,0.9,5148.701,Wheat,250
1971,"Wagga Wagga, NSW ",Red Sodosol,1,121,,257.654,364.8,0,,336,5834,1,0.9,5250.639,Wheat,250
1972,"Wagga Wagga, NSW ",Red Sodosol,1,122,,152.101,237,0,,325,5275.6,0,1,5275.641,Wheat,250
1973,"Wagga Wagga, NSW ",Red Sodosol,1,121,,255.304,407.9,0,,328,5455.3,0,1,5455.295,Wheat,250
1974,"Wagga Wagga, NSW ",Red Sodosol,1,121,,225.975,491.5,1,,337,5712.8,0,1,5712.793,Wheat,250
1975,"Wagga Wagga, NSW ",Red Sodosol,1,121,,283.759,381.5,0,,326,5514,0,1,5514,Wheat,250
1976,"Wagga Wagga, NSW ",Red Sodosol,1,122,,224.612,293.7,0,,334,6209.3,0,1,6209.288,Wheat,250
1977,"Wagga Wagga, NSW ",Red Sodosol,1,121,,118.329,226.2,2,,329,3316.2,3,0.729,2417.504,Wheat,250
1978,"Wagga Wagga, NSW ",Red Sodosol,1,121,,233.161,548.9,0,,333,4868.4,1,0.9,4381.556,Wheat,250
1979,"Wagga Wagga, NSW ",Red Sodosol,1,121,,222.715,329.6,1,,329,6153.7,1,0.9,5538.319,Wheat,250
1980,"Wagga Wagga, NSW ",Red Sodosol,1,122,,201.885,338.2,0,,330,6224.4,0,1,6224.364,Wheat,250
1981,"Wagga Wagga, NSW ",Red Sodosol,1,121,,133.758,330.2,0,,329,4892.7,0,1,4892.741,Wheat,250
1982,"Wagga Wagga, NSW ",Red Sodosol,1,121,,100.009,111,6,,326,2895,0,1,2894.958,Wheat,250
1983,"Wagga Wagga, NSW ",Red Sodosol,1,121,,249.109,502.6,1,,330,4704.1,0,1,4704.091,Wheat,250
1984,"Wagga Wagga, NSW ",Red Sodosol,1,122,,172.144,332.8,0,,330,5558.6,2,0.81,4502.505,Wheat,250
1985,"Wagga Wagga, NSW ",Red Sodosol,1,121,,253.93,423.1,0,,332,5835.4,0,1,5835.4,Wheat,250
1986,"Wagga Wagga, NSW ",Red Sodosol,1,121,,258.002,456.2,0,,338,6514.2,1,0.9,5862.809,Wheat,250
1987,"Wagga Wagga, NSW ",Red Sodosol,1,121,,166.877,318.7,2,,329,5107.6,0,1,5107.62,Wheat,250
1988,"Wagga Wagga, NSW ",Red Sodosol,1,122,,159.373,442,2,,326,5178.1,0,1,5178.053,Wheat,250
1989,"Wagga Wagga, NSW ",Red Sodosol,1,121,,223.293,376,0,,334,5144.7,0,1,5144.692,Wheat,250
1990,"Wagga Wagga, NSW ",Red Sodosol,1,121,,149.55,370.5,3,,330,5329.5,0,1,5329.532,Wheat,250
1991,"Wagga Wagga, NSW ",Red Sodosol,1,121,,159.726,330.6,0,,328,5499.9,1,0.9,4949.898,Wheat,250
1992,"Wagga Wagga, NSW ",Red Sodosol,1,122,,321.143,472.8,0,,341,5903,0,1,5902.995,Wheat,250
1993,"Wagga Wagga, NSW ",Red Sodosol,1,121,,279.877,458.7,0,,330,5919.7,1,0.9,5327.695,Wheat,250
1994,"Wagga Wagga, NSW ",Red Sodosol,1,121,,155.664,170.8,0,,329,3932.4,0,1,3932.364,Wheat,250
1995,"Wagga Wagga, NSW ",Red Sodosol,1,121,,203.048,373.8,0,,329,4934.5,0,1,4934.484,Wheat,250
1996,"Wagga Wagga, NSW ",Red Sodosol,1,122,,158.406,321.7,0,,332,5589.6,0,1,5589.64,Wheat,250
1997,"Wagga Wagga, NSW ",Red Sodosol,1,121,,141.234,251.1,3,,328,5125.9,2,0.81,4151.939,Wheat,250
1998,"Wagga Wagga, NSW ",Red Sodosol,1,121,,202.279,375.1,1,,329,5934.7,2,0.72,4273.011,Wheat,250
1999,"Wagga Wagga, NSW ",Red Sodosol,1,121,,259.291,367.4,0,,325,5912.6,0,1,5912.608,Wheat,250
2000,"Wagga Wagga, NSW ",Red Sodosol,1,122,,211.819,442.4,0,,331,5275.7,0,1,5275.709,Wheat,250
2001,"Wagga Wagga, NSW ",Red Sodosol,1,121,,145.355,263,0,,328,6306.5,0,1,6306.468,Wheat,250
2002,"Wagga Wagga, NSW ",Red Sodosol,1,121,,119.733,147.3,1,,323,3625.4,0,1,3625.387,Wheat,250
2003,"Wagga Wagga, NSW ",Red Sodosol,1,121,,177.787,328.7,0,,332,5425.7,0,1,5425.667,Wheat,250
2004,"Wagga Wagga, NSW ",Red Sodosol,1,122,,199.908,340.7,0,,332,6640.1,1,0.9,5976.108,Wheat,250
2005,"Wagga Wagga, NSW ",Red Sodosol,1,121,,236.063,361.8,0,,325,6528,1,0.9,5875.203,Wheat,250
2006,"Wagga Wagga, NSW ",Red Sodosol,1,121,,120.427,151.6,3,,324,3258.2,0,1,3258.225,Wheat,250
2007,"Wagga Wagga, NSW ",Red Sodosol,1,121,,114.939,203.9,3,,323,2999.4,1,0.9,2699.451,Wheat,250
2008,"Wagga Wagga, NSW ",Red Sodosol,1,122,,119.551,216.1,2,,322,4056,1,0.9,3650.433,Wheat,250
2009,"Wagga Wagga, NSW ",Red Sodosol,1,121,,100.482,203.7,5,,320,3467.5,2,0.72,2496.632,Wheat,250
2010,"Wagga Wagga, NSW ",Red Sodosol,1,121,,193.047,499.4,0,,329,8187.5,0,1,8187.512,Wheat,250
2011,"Wagga Wagga, NSW ",Red Sodosol,1,121,,144.739,211.3,3,,323,4031.8,2,0.81,3265.75,Wheat,250
2012,"Wagga Wagga, NSW ",Red Sodosol,1,122,,119.748,199.6,2,,330,4067.4,0,1,4067.44,Wheat,250
2013,"Wagga Wagga, NSW ",Red Sodosol,1,121,,127.59,276.2,1,,324,4796,3,0.576,2762.503,Wheat,250
2014,"Wagga Wagga, NSW ",Red Sodosol,1,121,,122.516,230.5,6,,322,3526.5,0,1,3526.506,Wheat,250
2015,"Wagga Wagga, NSW ",Red Sodosol,1,121,,178.467,383.9,2,,321,4975.6,0,1,4975.633,Wheat,250
2016,"Wagga Wagga, NSW ",Red Sodosol,1,122,,178.304,609.1,0,,328,5793.9,0,1,5793.909,Wheat,250
2017,"Wagga Wagga, NSW ",Red Sodosol,1,121,,124.758,214.4,0,,325,4776.1,0,1,4776.083,Wheat,250
1957,"Manildra, NSW ",Sandy Loam ,1,121,,14.993,131,6,,327,1042.5,0,1,1042.55,Wheat,250
1958,"Manildra, NSW ",Sandy Loam ,1,121,,87.566,324.5,3,,330,5915.5,0,1,5915.485,Wheat,250
1959,"Manildra, NSW ",Sandy Loam ,1,121,,122.749,221.2,0,,326,3675.5,0,1,3675.514,Wheat,250
1960,"Manildra, NSW ",Sandy Loam ,1,122,,187.551,456.9,1,,335,5332.2,0,1,5332.243,Wheat,250
1961,"Manildra, NSW ",Sandy Loam ,1,121,,231.327,368.6,2,,324,4209.9,0,1,4209.903,Wheat,250
1962,"Manildra, NSW ",Sandy Loam ,1,121,,145.736,314.4,0,,330,5051.9,1,0.8,4041.547,Wheat,250
1963,"Manildra, NSW ",Sandy Loam ,1,121,,185.343,432.5,0,,330,4278.8,0,1,4278.785,Wheat,250
1964,"Manildra, NSW ",Sandy Loam ,1,122,,151.378,393.8,0,,335,6212.6,1,0.9,5591.378,Wheat,250
1965,"Manildra, NSW ",Sandy Loam ,1,121,,185.091,254.6,2,,322,4119.1,0,1,4119.13,Wheat,250
1966,"Manildra, NSW ",Sandy Loam ,1,121,,281.756,475.4,0,,334,5895.4,0,1,5895.4,Wheat,250
1967,"Manildra, NSW ",Sandy Loam ,1,121,,139.571,304,1,,321,5165.7,0,1,5165.72,Wheat,250
1968,"Manildra, NSW ",Sandy Loam ,1,122,,160.82,309,2,,335,4247.5,0,1,4247.467,Wheat,250
1969,"Manildra, NSW ",Sandy Loam ,1,121,,248.532,411.4,0,,330,4843.5,0,1,4843.511,Wheat,250
1970,"Manildra, NSW ",Sandy Loam ,1,121,,193.526,392.2,0,,335,6342.7,2,0.81,5137.614,Wheat,250
1971,"Manildra, NSW ",Sandy Loam ,1,121,,236.625,336.7,0,,334,4814.3,0,1,4814.276,Wheat,250
1972,"Manildra, NSW ",Sandy Loam ,1,122,,136.132,177.9,0,,322,3473.3,0,1,3473.295,Wheat,250
1973,"Manildra, NSW ",Sandy Loam ,1,121,,273.804,459.1,0,,323,5979.6,0,1,5979.605,Wheat,250
1974,"Manildra, NSW ",Sandy Loam ,1,121,,153.971,385.5,3,,337,5669.4,0,1,5669.39,Wheat,250
1975,"Manildra, NSW ",Sandy Loam ,1,121,,254.633,324.9,0,,325,5279.3,0,1,5279.281,Wheat,250
1976,"Manildra, NSW ",Sandy Loam ,1,122,,241.273,379.1,0,,336,6126.7,0,1,6126.671,Wheat,250
1977,"Manildra, NSW ",Sandy Loam ,1,121,,126.456,290.5,1,,326,3401.7,0,1,3401.728,Wheat,250
1978,"Manildra, NSW ",Sandy Loam ,1,121,,244.006,427.1,0,,333,5085.8,1,0.9,4577.183,Wheat,250
1979,"Manildra, NSW ",Sandy Loam ,1,121,,128.593,209.8,1,,324,5272.3,0,1,5272.274,Wheat,250
1980,"Manildra, NSW ",Sandy Loam ,1,122,,121.285,202.9,1,,321,3809.6,0,1,3809.649,Wheat,250
1981,"Manildra, NSW ",Sandy Loam ,1,121,,197.376,417.6,0,,326,4954.3,0,1,4954.298,Wheat,250
1982,"Manildra, NSW ",Sandy Loam ,1,121,,113.134,101.2,1,,321,2727.2,0,1,2727.248,Wheat,250
1983,"Manildra, NSW ",Sandy Loam ,1,121,,165.426,386.2,0,,326,6344.1,0,1,6344.14,Wheat,250
1984,"Manildra, NSW ",Sandy Loam ,1,122,,162.204,351.1,0,,328,6432.6,2,0.81,5210.405,Wheat,250
1985,"Manildra, NSW ",Sandy Loam ,1,121,,216.999,324.3,0,,328,5107.1,0,1,5107.09,Wheat,250
1986,"Manildra, NSW ",Sandy Loam ,1,121,,202.63,369.4,0,,333,6984.9,1,0.9,6286.407,Wheat,250
1987,"Manildra, NSW ",Sandy Loam ,1,121,,187.639,346.6,0,,326,4891,1,0.9,4401.943,Wheat,250
1988,"Manildra, NSW ",Sandy Loam ,1,122,,202.466,385.5,2,,323,5322.4,0,1,5322.364,Wheat,250
1989,"Manildra, NSW ",Sandy Loam ,1,121,,163.281,321.3,0,,332,4513.7,0,1,4513.695,Wheat,250
1990,"Manildra, NSW ",Sandy Loam ,1,121,,140.014,413.2,1,,329,4403.7,0,1,4403.719,Wheat,250
1991,"Manildra, NSW ",Sandy Loam ,1,121,,167.756,424.2,0,,325,4381.2,0,1,4381.21,Wheat,250
1992,"Manildra, NSW ",Sandy Loam ,1,122,,218.563,406.7,0,,337,6067,0,1,6067.032,Wheat,250
1993,"Manildra, NSW ",Sandy Loam ,1,121,,259.978,470.5,0,,327,5808.9,1,0.9,5227.968,Wheat,250
1994,"Manildra, NSW ",Sandy Loam ,1,121,,145.27,175.8,1,,327,3773.8,0,1,3773.772,Wheat,250
1995,"Manildra, NSW ",Sandy Loam ,1,121,,128.238,292,0,,321,4412.2,0,1,4412.24,Wheat,250
1996,"Manildra, NSW ",Sandy Loam ,1,122,,217.111,504.3,0,,330,6797.3,0,1,6797.251,Wheat,250
1997,"Manildra, NSW ",Sandy Loam ,1,121,,153.096,248.6,1,,325,5865.1,1,0.9,5278.567,Wheat,250
1998,"Manildra, NSW ",Sandy Loam ,1,121,,274.314,612.3,0,,330,5111.8,0,1,5111.771,Wheat,250
1999,"Manildra, NSW ",Sandy Loam ,1,121,,273.552,399.9,0,,323,5772.7,0,1,5772.713,Wheat,250
2000,"Manildra, NSW ",Sandy Loam ,1,122,,232.025,409.3,0,,331,4954.7,0,1,4954.716,Wheat,250
2001,"Manildra, NSW ",Sandy Loam ,1,121,,139.753,301.3,0,,329,6000.1,0,1,6000.064,Wheat,250
2002,"Manildra, NSW ",Sandy Loam ,1,121,,110.045,129.5,1,,321,2856.1,0,1,2856.121,Wheat,250
2003,"Manildra, NSW ",Sandy Loam ,1,121,,138.474,274.6,0,,328,5766.4,3,0.648,3736.65,Wheat,250
2004,"Manildra, NSW ",Sandy Loam ,1,122,,182.422,351.6,0,,330,5979,1,0.9,5381.104,Wheat,250
2005,"Manildra, NSW ",Sandy Loam ,1,121,,274.566,482.7,0,,323,7308.3,0,1,7308.284,Wheat,250
2006,"Manildra, NSW ",Sandy Loam ,1,121,,112.15,116.9,1,,320,2686.3,0,1,2686.292,Wheat,250
2007,"Manildra, NSW ",Sandy Loam ,1,121,,136.709,258.6,0,,323,3129.9,2,0.81,2535.251,Wheat,250
2008,"Manildra, NSW ",Sandy Loam ,1,122,,172.538,282.3,1,,324,6345.3,1,0.9,5710.752,Wheat,250
2009,"Manildra, NSW ",Sandy Loam ,1,121,,119.18,221.6,3,,319,4887.3,1,0.8,3909.872,Wheat,250
2010,"Manildra, NSW ",Sandy Loam ,1,121,,197.16,435.8,0,,328,6474.8,0,1,6474.776,Wheat,250
2011,"Manildra, NSW ",Sandy Loam ,1,121,,168.871,275.5,0,,325,5061.2,1,0.9,4555.076,Wheat,250
2012,"Manildra, NSW ",Sandy Loam ,1,122,,120.436,244.8,1,,330,3618.3,1,0.9,3256.479,Wheat,250
2013,"Manildra, NSW ",Sandy Loam ,1,121,,161.128,320.4,1,,325,3680.6,4,0.583,2146.546,Wheat,250
2014,"Manildra, NSW ",Sandy Loam ,1,121,,114.434,231.2,4,,323,3862.1,2,0.81,3128.333,Wheat,250
2015,"Manildra, NSW ",Sandy Loam ,1,121,,151.019,267.4,1,,323,3987.1,0,1,3987.098,Wheat,250
2016,"Manildra, NSW ",Sandy Loam ,1,122,,181.518,635.4,0,,332,7293.3,1,0.9,6563.969,Wheat,250
2017,"Manildra, NSW ",Sandy Loam ,1,121,,129.369,154.3,0,,325,3970.3,0,1,3970.283,Wheat,250
1957,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,5.614,163.2,1,,320,796.9,1,0.9,717.227,Wheat,250
1958,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,20.586,335.2,1,,329,5085.7,0,1,5085.694,Wheat,250
1959,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,13.161,129.9,0,,322,1698.4,0,1,1698.378,Wheat,250
1960,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,18.647,294.1,0,,336,5275.8,0,1,5275.795,Wheat,250
1961,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,11.276,196.9,4,,318,2452.4,1,0.9,2207.167,Wheat,250
1962,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,17.807,249.7,0,,326,4444.8,0,1,4444.777,Wheat,250
1963,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,17.186,339.1,1,,323,2212.9,1,0.9,1991.633,Wheat,250
1964,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,70.183,331.1,0,,329,4746.2,0,1,4746.162,Wheat,250
1965,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,34.13,259,4,,321,2495.4,1,0.9,2245.857,Wheat,250
1966,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,14.381,228.3,1,,330,2754,0,1,2753.999,Wheat,250
1967,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,10.233,149.8,6,,329,1764.9,2,0.81,1429.551,Wheat,250
1968,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,19.97,345,3,,331,4016.8,0,1,4016.798,Wheat,250
1969,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,10.394,204.9,2,,327,1900.6,1,0.9,1710.577,Wheat,250
1970,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,53.108,249.9,0,,330,2150.1,2,0.72,1548.084,Wheat,250
1971,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,10.662,224.8,2,,330,2714.3,1,0.9,2442.862,Wheat,250
1972,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,14.52,156.9,0,,322,898.1,0,1,898.094,Wheat,250
1973,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,44.869,363.2,0,,321,4904.3,0,1,4904.348,Wheat,250
1974,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,15.855,319.4,0,,329,5853.7,1,0.9,5268.322,Wheat,250
1975,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,75.575,281.8,0,,320,4723.1,1,0.9,4250.791,Wheat,250
1976,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,11.192,171.8,3,,341,3037.4,0,1,3037.401,Wheat,250
1977,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,9.795,160.6,6,,322,1254.4,0,1,1254.436,Wheat,250
1978,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,49.012,325.6,2,,326,3012.6,1,0.9,2711.354,Wheat,250
1979,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,42.16,260.5,1,,320,4990.6,0,1,4990.575,Wheat,250
1980,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,21.952,265.7,1,,321,3272,0,1,3272.03,Wheat,250
1981,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,19.832,383.5,1,,324,3045.7,0,1,3045.736,Wheat,250
1982,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,9.505,114.1,3,,320,408.4,2,0.81,330.766,Wheat,250
1983,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,13.553,288.9,1,,324,4451.8,2,0.72,3205.279,Wheat,250
1984,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,14.446,260.9,2,,324,3583.6,0,1,3583.56,Wheat,250
1985,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,18.673,270.3,0,,321,3718,0,1,3718.014,Wheat,250
1986,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,20.725,348,1,,325,5301.7,0,1,5301.685,Wheat,250
1987,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,13.499,283.4,2,,321,3128,1,0.9,2815.217,Wheat,250
1988,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,19.012,273.1,3,,316,2452,0,1,2451.995,Wheat,250
1989,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,10.359,249.9,0,,327,2327.4,0,1,2327.386,Wheat,250
1990,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,11.108,246.6,4,,318,2593.4,1,0.9,2334.048,Wheat,250
1991,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,12.101,255.6,2,,330,2319.5,0,1,2319.451,Wheat,250
1992,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,59.208,424.6,2,,329,6888.5,0,1,6888.454,Wheat,250
1993,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,21.927,277.2,0,,321,5535.9,0,1,5535.929,Wheat,250
1994,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,20.912,198.4,5,,325,2050.9,0,1,2050.898,Wheat,250
1995,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,45.896,303.2,2,,319,1694.2,0,1,1694.217,Wheat,250
1996,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,14.52,321.1,1,,322,5405.3,0,1,5405.32,Wheat,250
1997,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,38.718,221,4,,321,1816.3,0,1,1816.313,Wheat,250
1998,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,43.481,246.4,3,,318,3423.8,0,1,3423.823,Wheat,250
1999,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,15.988,226.2,1,,320,1675.6,0,1,1675.554,Wheat,250
2000,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,28.623,285.5,1,,320,4020.4,0,1,4020.448,Wheat,250
2001,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,38.565,314.8,1,,327,4563.6,0,1,4563.567,Wheat,250
2002,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,9.201,125.2,1,,316,496,2,0.81,401.778,Wheat,250
2003,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,12.202,292.3,1,,327,4005.5,1,0.9,3604.934,Wheat,250
2004,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,33.845,259.7,1,,320,2419.1,0,1,2419.115,Wheat,250
2005,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,17.302,283.6,2,,331,3522,0,1,3522.002,Wheat,250
2006,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,18.863,99.4,4,,318,401.3,0,1,401.303,Wheat,250
2007,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,9.927,150.8,3,,317,1191.8,0,1,1191.782,Wheat,250
2008,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,8.723,140.6,4,,319,609.3,0,1,609.313,Wheat,250
2009,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,14.657,203.1,1,,316,3511.2,0,1,3511.227,Wheat,250
2010,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,13.12,235.8,0,,326,4318.8,0,1,4318.774,Wheat,250
2011,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,14.477,192.9,2,,317,2371.7,0,1,2371.746,Wheat,250
2012,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,122,,9.884,173,1,,320,1615.3,1,0.9,1453.77,Wheat,250
2013,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,9.792,211.4,1,,310,2064.7,0,1,2064.671,Wheat,250
2014,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,9.956,140.8,7,,313,1172,0,1,1171.997,Wheat,250
2015,"Lameroo, SA",Loamy sand over sand over sandy clay loam,1,121,,41.366,175.2,5,,316,1467.2,0,1,1467.162,Wheat,250
