year,location,Soil,cultivar,sowing date,sowing configuration,esw,gsr,nheat,nheat2,Maturity Date,yield,nfrost,multiplier,frost yield,crop,crop price
2000,"Walpeup, VIC",Loomy sand over clay ,1,122,,21.738,199.1,1,,322,3557.3,0,1,3557.26,Wheat,250
2001,"Walpeup, VIC",Loomy sand over clay ,1,121,,1.622,198.6,1,,330,314.6,1,0.9,283.135,Wheat,250
2002,"Walpeup, VIC",Loomy sand over clay ,1,121,,1.622,94.2,3,,0,0.8,0,1,0.818,Wheat,250
2003,"Walpeup, VIC",Loomy sand over clay ,1,121,,8.208,222.8,1,,325,1593.1,2,0.81,1290.441,Wheat,250
2004,"Walpeup, VIC",Loomy sand over clay ,1,122,,4.614,181,3,,326,72.9,0,1,72.936,Wheat,250
2005,"Walpeup, VIC",Loomy sand over clay ,1,121,,2.902,201.4,2,,329,402.8,0,1,402.845,Wheat,250
2006,"Walpeup, VIC",Loomy sand over clay ,1,121,,4.891,87.5,4,,316,75.3,0,1,75.254,Wheat,250
2007,"Walpeup, VIC",Loomy sand over clay ,1,121,,1.63,133.4,3,,318,730.4,0,1,730.401,Wheat,250
2008,"Walpeup, VIC",Loomy sand over clay ,1,122,,6.187,140.5,5,,326,182.3,0,1,182.336,Wheat,250
2009,"Walpeup, VIC",Loomy sand over clay ,1,121,,14.108,212.3,1,,317,1249.7,0,1,1249.667,Wheat,250
2010,"Walpeup, VIC",Loomy sand over clay ,1,121,,11.688,242.7,1,,325,2735.7,1,0.9,2462.172,Wheat,250
2011,"Walpeup, VIC",Loomy sand over clay ,1,121,,19.486,158.8,2,,313,2293,0,1,2293.025,Wheat,250
2012,"Walpeup, VIC",Loomy sand over clay ,1,122,,1.638,100.8,2,,318,353.2,0,1,353.236,Wheat,250
2013,"Walpeup, VIC",Loomy sand over clay ,1,121,,1.638,169.6,2,,314,235.4,0,1,235.369,Wheat,250
2014,"Walpeup, VIC",Loomy sand over clay ,1,121,,1.789,97.2,4,,311,541.2,0,1,541.238,Wheat,250
2015,"Walpeup, VIC",Loomy sand over clay ,1,121,,1.638,115.3,9,,313,479.2,0,1,479.181,Wheat,250
2016,"Walpeup, VIC",Loomy sand over clay ,1,122,,29.796,331.3,1,,324,1756,0,1,1755.977,Wheat,250
2017,"Walpeup, VIC",Loomy sand over clay ,1,121,,0.553,137,3,,316,1451,0,1,1451.011,Wheat,250
1957,"Underbool, VIC",sandy,1,121,,19.02,122,1,,319,799.1,0,1,799.051,Wheat,250
1958,"Underbool, VIC",sandy,1,121,,31.405,253.9,3,,330,2507.5,0,1,2507.454,Wheat,250
1959,"Underbool, VIC",sandy,1,121,,39.781,139,1,,323,263.9,0,1,263.937,Wheat,250
1960,"Underbool, VIC",sandy,1,122,,64.758,260.5,2,,329,2136,0,1,2135.95,Wheat,250
1961,"Underbool, VIC",sandy,1,121,,35.133,139.8,4,,314,1495.8,0,1,1495.791,Wheat,250
1962,"Underbool, VIC",sandy,1,121,,37.357,140.6,0,,319,1046,0,1,1045.969,Wheat,250
1963,"Underbool, VIC",sandy,1,121,,73.624,285.8,2,,317,2759.8,0,1,2759.812,Wheat,250
1964,"Underbool, VIC",sandy,1,122,,102.294,309.1,0,,323,4994.5,0,1,4994.51,Wheat,250
1965,"Underbool, VIC",sandy,1,121,,53.582,184.5,6,,319,1955.1,0,1,1955.101,Wheat,250
1966,"Underbool, VIC",sandy,1,121,,43.336,173.9,0,,326,1105.5,0,1,1105.455,Wheat,250
1967,"Underbool, VIC",sandy,1,121,,36.071,84,4,,323,281.7,0,1,281.672,Wheat,250
1968,"Underbool, VIC",sandy,1,122,,34.157,235.1,3,,326,1449.9,0,1,1449.897,Wheat,250
1969,"Underbool, VIC",sandy,1,121,,78.188,157.6,1,,322,2039.9,0,1,2039.934,Wheat,250
1970,"Underbool, VIC",sandy,1,121,,119.728,227,0,,327,2920.8,1,0.9,2628.7,Wheat,250
1971,"Underbool, VIC",sandy,1,121,,63.806,158.4,2,,324,1954.7,0,1,1954.708,Wheat,250
1972,"Underbool, VIC",sandy,1,122,,51.248,129,0,,318,972.1,0,1,972.145,Wheat,250
1973,"Underbool, VIC",sandy,1,121,,93.494,291.2,0,,319,4730.8,0,1,4730.848,Wheat,250
1974,"Underbool, VIC",sandy,1,121,,73.079,272.9,0,,326,6292,0,1,6291.978,Wheat,250
1975,"Underbool, VIC",sandy,1,121,,135.134,272.9,0,,318,2123.3,0,1,2123.261,Wheat,250
1976,"Underbool, VIC",sandy,1,122,,69.419,215.1,0,,326,3900.8,0,1,3900.776,Wheat,250
1977,"Underbool, VIC",sandy,1,121,,47.179,125.4,6,,323,510,0,1,510.046,Wheat,250
1978,"Underbool, VIC",sandy,1,121,,95.484,327.6,2,,323,3351,0,1,3351.022,Wheat,250
1979,"Underbool, VIC",sandy,1,121,,72.15,232.7,1,,317,3834.8,0,1,3834.822,Wheat,250
1980,"Underbool, VIC",sandy,1,122,,72.537,201.6,3,,319,2993.8,0,1,2993.81,Wheat,250
1981,"Underbool, VIC",sandy,1,121,,78.767,299,1,,320,2842.7,0,1,2842.666,Wheat,250
1982,"Underbool, VIC",sandy,1,121,,52.253,63.8,2,,318,288.1,1,0.9,259.266,Wheat,250
1983,"Underbool, VIC",sandy,1,121,,49.142,229.2,0,,319,3619.5,0,1,3619.524,Wheat,250
